,comercio_id,mes_operacion,estado,moneda,num_transacciones,monto_transaccion,monto_contracargo_venta
0,0,01/07/21,IN_PROGRESS,MXN,"3,679,780",11928910467.0,0.0
1,0,01/07/21,COMPLETED,MXN,"12,366",23472915.0,0.0
2,0,01/07/21,FAILED,MXN,"5,115",7124189.72,0.0
3,0,01/08/21,IN_PROGRESS,MXN,"2,536,306",8193985268.0,0.0
4,0,01/08/21,CANCELLED,MXN,"876,854",2786923528.0,0.0
5,0,01/08/21,COMPLETED,MXN,"11,693",22654486.0,0.0
6,0,01/08/21,FAILED,MXN,"4,629",6616879.32,0.0
7,1,01/07/21,IN_PROGRESS,MXN,"1,748,668",2975559643.0,0.0
8,1,01/07/21,COMPLETED,MXN,"8,218",9188680.0,0.0
9,1,01/07/21,FAILED,MXN,"3,969",3114530.59,0.0
10,1,01/08/21,IN_PROGRESS,MXN,"2,024,423",3373727716.0,0.0
11,1,01/08/21,COMPLETED,MXN,"8,433",10123512.0,0.0
12,1,01/08/21,FAILED,MXN,"3,923",3188906.68,0.0
13,2,01/07/21,FAILED,MXN,"1,740,857",143075558.0,0.0
14,2,01/07/21,COMPLETED,MXN,"190,740",14991421.4,292951.89
15,2,01/07/21,ERROR,MXN,"5,528",453723.8,0.0
16,2,01/07/21,IN_PROGRESS,MXN,27,2306.56,0.0
17,2,01/08/21,FAILED,MXN,"1,399,830",108046906.47,0.0
18,2,01/08/21,COMPLETED,MXN,"168,731",12607617.0,245044.31
19,2,01/08/21,ERROR,MXN,555,42137.63,0.0
20,2,01/08/21,CANCELLED,MXN,8,1748135.91,0.0
21,3,01/07/21,FAILED,MXN,"812,579",284702277.9,0.0
22,3,01/07/21,COMPLETED,MXN,"613,500",173899830.15,314904.55
23,3,01/07/21,ERROR,MXN,"19,883",16321286.01,0.0
24,3,01/07/21,CANCELLED,MXN,"14,659",146861.42,0.0
25,3,01/07/21,IN_PROGRESS,MXN,"1,506",7818.49,0.0
26,3,01/08/21,FAILED,MXN,"808,349",281562047.36,0.0
27,3,01/08/21,COMPLETED,MXN,"645,769",186947938.6,283435.29
28,3,01/08/21,ERROR,MXN,"18,423",15530694.39,0.0
29,3,01/08/21,CANCELLED,MXN,"14,977",146557.84,0.0
30,3,01/08/21,IN_PROGRESS,MXN,440,1413.62,0.0
31,4,01/07/21,COMPLETED,MXN,"788,067",57990070.9,376341.6
32,4,01/07/21,FAILED,MXN,"368,521",28719506.49,0.0
33,4,01/07/21,CANCELLED,MXN,"38,401",5812923.14,0.0
34,4,01/07/21,ERROR,MXN,"1,150",97923.0,0.0
35,4,01/07/21,IN_PROGRESS,MXN,4,255.19,0.0
36,4,01/08/21,COMPLETED,MXN,"869,162",61808315.01,395699.31
37,4,01/08/21,FAILED,MXN,"365,878",27945608.75,0.0
38,4,01/08/21,CANCELLED,MXN,"36,408",5341475.28,0.0
39,4,01/08/21,ERROR,MXN,418,36899.61,0.0
40,5,01/07/21,FAILED,MXN,"1,528,610",221300080.12,0.0
41,5,01/07/21,COMPLETED,MXN,"57,263",7639903.39,26570.79
42,5,01/07/21,CANCELLED,MXN,"3,718",43548.84,0.0
43,5,01/07/21,ERROR,MXN,"3,285",389909.87,0.0
44,5,01/07/21,IN_PROGRESS,MXN,15,1917.0,0.0
45,5,01/08/21,FAILED,MXN,"587,480",83874503.08,0.0
46,5,01/08/21,COMPLETED,MXN,"28,070",4001703.46,13986.54
47,5,01/08/21,CANCELLED,MXN,"1,006",9585.83,0.0
48,5,01/08/21,ERROR,MXN,247,28747.76,0.0
49,5,01/08/21,IN_PROGRESS,MXN,1,99.03,0.0
50,6,01/07/21,FAILED,MXN,"632,051",512482460.57,0.0
51,6,01/07/21,COMPLETED,MXN,"419,077",304352460.96,0.0
52,6,01/07/21,ERROR,MXN,"1,061",809507.47,0.0
53,6,01/08/21,FAILED,MXN,"619,928",459733157.74,0.0
54,6,01/08/21,COMPLETED,MXN,"413,001",276150215.92,0.0
55,6,01/08/21,ERROR,MXN,36,112290.68,0.0
56,7,01/07/21,FAILED,MXN,"344,323",14156127.7,0.0
57,7,01/07/21,COMPLETED,MXN,"245,589",19735344.06,85700.56
58,7,01/07/21,CANCELLED,MXN,"239,346",4770441.37,0.0
59,7,01/07/21,ERROR,MXN,709,22201.9,0.0
60,7,01/07/21,IN_PROGRESS,MXN,1,74.5,0.0
61,7,01/08/21,COMPLETED,MXN,"237,333",19037873.54,150237.97
62,7,01/08/21,FAILED,MXN,"234,983",16713904.1,0.0
63,7,01/08/21,CANCELLED,MXN,"31,859",638745.27,0.0
64,7,01/08/21,ERROR,MXN,173,11405.6,0.0
65,8,01/07/21,FAILED,MXN,"304,504",24625859.35,0.0
66,8,01/07/21,COMPLETED,MXN,"127,622",14117235.79,779.98
67,8,01/07/21,CANCELLED,MXN,"26,696",57995.91,0.0
68,8,01/07/21,ERROR,MXN,425,35631.0,0.0
69,8,01/07/21,IN_PROGRESS,MXN,3,331.62,0.0
70,8,01/08/21,FAILED,MXN,"302,419",23219584.1,0.0
71,8,01/08/21,COMPLETED,MXN,"131,441",14082476.77,749.62
72,8,01/08/21,CANCELLED,MXN,"17,914",30153.22,0.0
73,8,01/08/21,ERROR,MXN,80,6086.48,0.0
74,9,01/07/21,COMPLETED,MXN,"333,827",31143956.0,5763.0
75,9,01/07/21,IN_PROGRESS,MXN,"45,807",5402176.0,0.0
76,9,01/07/21,FAILED,MXN,"17,026",1640402.1,0.0
77,9,01/07/21,ERROR,MXN,107,10946.0,0.0
78,9,01/08/21,COMPLETED,MXN,"329,130",29310785.0,4205.0
79,9,01/08/21,IN_PROGRESS,MXN,"48,406",4852611.0,0.0
80,9,01/08/21,FAILED,MXN,"13,754",1269693.52,0.0
81,9,01/08/21,ERROR,MXN,8,700.0,0.0
82,10,01/07/21,COMPLETED,MXN,"247,608",701342007.69,0.0
83,10,01/07/21,FAILED,MXN,"62,682",254993474.97,0.0
84,10,01/07/21,EXPIRED,MXN,"1,673",2278262.02,0.0
85,10,01/07/21,ERROR,MXN,430,943817.45,0.0
86,10,01/08/21,COMPLETED,MXN,"288,396",915959994.91,0.0
87,10,01/08/21,FAILED,MXN,"96,290",381943214.05,0.0
88,10,01/08/21,EXPIRED,MXN,"1,734",3832436.76,0.0
89,10,01/08/21,ERROR,MXN,111,2547593.71,0.0
90,11,01/07/21,COMPLETED,MXN,"211,042",198446189.13,0.0
91,11,01/07/21,FAILED,MXN,"61,316",92056912.39,0.0
92,11,01/07/21,EXPIRED,MXN,"15,947",30546972.07,0.0
93,11,01/07/21,CANCELLED,MXN,"6,426",11691475.65,0.0
94,11,01/07/21,ERROR,MXN,533,622668.23,0.0
95,11,01/07/21,IN_PROGRESS,MXN,168,249751.43,0.0
96,11,01/07/21,CHARGE_PENDING,MXN,1,0.01,0.0
97,11,01/08/21,COMPLETED,MXN,"230,799",213916813.84,0.0
98,11,01/08/21,FAILED,MXN,"82,219",114701987.41,0.0
99,11,01/08/21,EXPIRED,MXN,"16,557",35467724.28,0.0
100,11,01/08/21,CANCELLED,MXN,"5,443",9405654.54,0.0
101,11,01/08/21,CHARGE_PENDING,MXN,218,19085.13,0.0
102,11,01/08/21,IN_PROGRESS,MXN,179,236913.55,0.0
103,11,01/08/21,ERROR,MXN,130,159171.95,0.0
104,12,01/07/21,COMPLETED,MXN,"185,559",827874542.05,0.0
105,12,01/07/21,FAILED,MXN,"81,524",482249579.44,0.0
106,12,01/07/21,ERROR,MXN,315,1707661.87,0.0
107,12,01/08/21,COMPLETED,MXN,"212,672",998299943.52,0.0
108,12,01/08/21,FAILED,MXN,"108,575",684735981.59,0.0
109,12,01/08/21,ERROR,MXN,109,508430.76,0.0
110,12,01/08/21,EXPIRED,MXN,20,126499.99,0.0
129,14,01/07/21,COMPLETED,MXN,"131,354",82248011.43,187615.66
130,14,01/07/21,FAILED,MXN,"66,558",54518892.13,0.0
131,14,01/07/21,EXPIRED,MXN,"12,745",9971724.49,0.0
132,14,01/07/21,ERROR,MXN,716,569102.78,0.0
133,14,01/07/21,CANCELLED,MXN,1,468.0,0.0
134,14,01/08/21,COMPLETED,MXN,"112,492",65727752.95,54035.66
135,14,01/08/21,FAILED,MXN,"88,891",60731728.44,0.0
136,14,01/08/21,EXPIRED,MXN,"18,206",11693118.98,0.0
137,14,01/08/21,ERROR,MXN,153,82929.8,0.0
138,14,01/08/21,CANCELLED,MXN,1,1558.0,0.0
139,15,01/07/21,COMPLETED,MXN,"50,269",7714550.0,65850.0
140,15,01/07/21,FAILED,MXN,"18,292",2910250.0,0.0
141,15,01/07/21,ERROR,MXN,14,2500.0,0.0
142,15,01/08/21,COMPLETED,MXN,"195,956",36301500.0,7600200.0
143,15,01/08/21,FAILED,MXN,"142,266",34822200.0,0.0
144,15,01/08/21,ERROR,MXN,122,27250.0,0.0
145,16,01/07/21,COMPLETED,MXN,"134,435",33785790.1,9719.0
146,16,01/07/21,FAILED,MXN,"52,341",17309102.65,0.0
147,16,01/07/21,CANCELLED,MXN,"5,607",1365307.25,0.0
148,16,01/07/21,ERROR,MXN,52,12266.25,0.0
149,16,01/07/21,IN_PROGRESS,MXN,15,3709.0,0.0
150,16,01/08/21,COMPLETED,MXN,"134,891",33279873.35,2590.0
151,16,01/08/21,FAILED,MXN,"48,915",15743501.3,0.0
152,16,01/08/21,CANCELLED,MXN,"6,684",1608402.75,0.0
153,16,01/08/21,IN_PROGRESS,MXN,14,3942.6,0.0
154,16,01/08/21,ERROR,MXN,9,2483.6,0.0
155,17,01/07/21,COMPLETED,MXN,"164,886",3946923.77,3565.0
156,17,01/07/21,FAILED,MXN,"21,049",737632.59,0.0
157,17,01/07/21,ERROR,MXN,159,3999.5,0.0
158,17,01/07/21,CANCELLED,MXN,7,2500.0,0.0
159,17,01/07/21,IN_PROGRESS,MXN,3,900.0,0.0
160,17,01/08/21,COMPLETED,MXN,"163,135",3912816.3,6172.0
161,17,01/08/21,FAILED,MXN,"20,581",841318.0,0.0
162,17,01/08/21,ERROR,MXN,28,2151.5,0.0
163,17,01/08/21,CANCELLED,MXN,2,600.0,0.0
164,18,01/07/21,COMPLETED,MXN,"144,121",14053844.0,21840.0
165,18,01/07/21,FAILED,MXN,"26,706",2516740.0,0.0
166,18,01/07/21,ERROR,MXN,114,10389.0,0.0
167,18,01/08/21,COMPLETED,MXN,"151,768",14134112.0,29326.0
168,18,01/08/21,FAILED,MXN,"28,458",2679845.0,0.0
169,18,01/08/21,ERROR,MXN,28,2482.0,0.0
170,19,01/07/21,COMPLETED,MXN,"78,811",76719506.61,0.0
171,19,01/07/21,FAILED,MXN,"30,574",36379070.18,0.0
172,19,01/07/21,EXPIRED,MXN,"11,056",9200971.43,0.0
173,19,01/07/21,CANCELLED,MXN,"4,787",6793417.15,0.0
174,19,01/07/21,ERROR,MXN,977,749207.01,0.0
175,19,01/07/21,IN_PROGRESS,MXN,576,762174.48,0.0
176,19,01/08/21,COMPLETED,MXN,"87,948",82562770.21,0.0
177,19,01/08/21,FAILED,MXN,"35,346",46208701.88,0.0
178,19,01/08/21,EXPIRED,MXN,"11,617",8896853.68,0.0
179,19,01/08/21,CANCELLED,MXN,"5,444",8216017.34,0.0
180,19,01/08/21,IN_PROGRESS,MXN,817,972432.0,0.0
181,19,01/08/21,ERROR,MXN,322,279713.51,0.0
182,20,01/07/21,COMPLETED,MXN,"81,523",37938779.52,570342.48
183,20,01/07/21,FAILED,MXN,"33,200",23652065.49,0.0
184,20,01/07/21,ERROR,MXN,136,65171.27,0.0
185,20,01/08/21,COMPLETED,MXN,"90,639",44031151.78,827764.96
186,20,01/08/21,FAILED,MXN,"42,897",31086039.04,0.0
187,20,01/08/21,ERROR,MXN,112,63257.05,0.0
188,21,01/07/21,COMPLETED,MXN,"71,398",19730519.0,0.0
189,21,01/07/21,IN_PROGRESS,MXN,"42,328",17212675.0,0.0
190,21,01/07/21,FAILED,MXN,"3,144",874400.01,0.0
191,21,01/08/21,COMPLETED,MXN,"77,138",21150471.0,0.0
192,21,01/08/21,IN_PROGRESS,MXN,"44,798",18239892.0,0.0
193,21,01/08/21,FAILED,MXN,"3,029",822306.28,0.0
194,22,01/07/21,COMPLETED,MXN,"28,845",8712649.0,0.0
195,22,01/07/21,FAILED,MXN,"25,519",8228017.0,0.0
196,22,01/07/21,IN_PROGRESS,MXN,"19,087",7406305.0,0.0
197,22,01/07/21,EXPIRED,MXN,"10,168",3184002.0,0.0
198,22,01/07/21,CANCELLED,MXN,"6,450",2282434.0,0.0
199,22,01/07/21,ERROR,MXN,342,116851.0,0.0
200,22,01/08/21,FAILED,MXN,"31,381",10014172.6,0.0
201,22,01/08/21,COMPLETED,MXN,"28,729",8447641.0,0.0
202,22,01/08/21,IN_PROGRESS,MXN,"26,859",10359300.0,0.0
203,22,01/08/21,EXPIRED,MXN,"10,563",3183963.0,0.0
204,22,01/08/21,CANCELLED,MXN,"6,634",2281028.0,0.0
205,22,01/08/21,ERROR,MXN,61,19567.0,0.0
206,23,01/07/21,IN_PROGRESS,MXN,"69,113",304653902.73,0.0
207,23,01/07/21,CANCELLED,MXN,"11,692",82899593.6,0.0
208,23,01/07/21,COMPLETED,MXN,"4,917",30986642.18,0.0
209,23,01/07/21,FAILED,MXN,547,1928724.26,0.0
210,23,01/08/21,IN_PROGRESS,MXN,"88,976",311376979.01,0.0
211,23,01/08/21,CANCELLED,MXN,"11,063",65383905.48,0.0
212,23,01/08/21,COMPLETED,MXN,"7,360",31236467.03,0.0
213,23,01/08/21,FAILED,MXN,602,1966883.92,0.0
214,24,01/07/21,COMPLETED,MXN,"80,698",32934200.0,167700.0
215,24,01/07/21,FAILED,MXN,"16,333",6675600.0,0.0
216,24,01/07/21,ERROR,MXN,252,101200.0,0.0
217,24,01/08/21,COMPLETED,MXN,"75,054",30082000.0,51900.0
218,24,01/08/21,FAILED,MXN,"19,586",8047900.0,0.0
219,24,01/08/21,ERROR,MXN,96,27300.0,0.0
220,25,01/07/21,FAILED,MXN,"69,576",9090528.03,0.0
221,25,01/07/21,COMPLETED,MXN,"23,168",2197999.62,29004.16
222,25,01/07/21,EXPIRED,MXN,"11,131",1346384.36,0.0
223,25,01/07/21,CANCELLED,MXN,624,81041.06,0.0
224,25,01/07/21,ERROR,MXN,487,61009.17,0.0
225,25,01/07/21,IN_PROGRESS,MXN,1,20.0,0.0
226,25,01/08/21,FAILED,MXN,"53,522",7118733.22,0.0
227,25,01/08/21,COMPLETED,MXN,"23,445",2274937.14,42494.37
228,25,01/08/21,EXPIRED,MXN,"8,697",1044036.81,0.0
229,25,01/08/21,CANCELLED,MXN,723,96191.74,0.0
230,25,01/08/21,ERROR,MXN,77,8429.38,0.0
231,26,01/07/21,FAILED,MXN,"65,399",154826073.05,0.0
232,26,01/07/21,COMPLETED,MXN,"28,099",43862181.08,3229434.3
233,26,01/07/21,ERROR,MXN,77,159750.45,0.0
234,26,01/08/21,FAILED,MXN,"53,277",111349973.12,0.0
235,26,01/08/21,COMPLETED,MXN,"27,325",41857554.77,1101821.29
236,26,01/08/21,ERROR,MXN,30,80408.76,0.0
247,28,01/07/21,IN_PROGRESS,MXN,"80,277",197122477.58,0.0
248,28,01/07/21,COMPLETED,MXN,167,3166407.31,0.0
249,28,01/07/21,FAILED,MXN,41,20565.34,0.0
250,28,01/08/21,IN_PROGRESS,MXN,"91,138",257291816.04,0.0
251,28,01/08/21,COMPLETED,MXN,189,77674.0,0.0
252,28,01/08/21,FAILED,MXN,55,22218.0,0.0
253,28,01/08/21,CANCELLED,MXN,2,4201.72,0.0
254,29,01/07/21,COMPLETED,MXN,"38,781",8858376.96,368324.0
255,29,01/07/21,FAILED,MXN,"38,001",7609673.83,0.0
256,29,01/07/21,ERROR,MXN,54,11817.01,0.0
257,29,01/08/21,COMPLETED,MXN,"42,128",9424509.69,312336.35
258,29,01/08/21,FAILED,MXN,"39,266",7737701.21,0.0
259,29,01/08/21,ERROR,MXN,15,2658.95,0.0
260,30,01/07/21,FAILED,MXN,"36,917",73085063.52,0.0
261,30,01/07/21,COMPLETED,MXN,"24,636",28384151.49,15524.46
262,30,01/07/21,EXPIRED,MXN,"4,190",7910050.94,0.0
263,30,01/07/21,CANCELLED,MXN,"1,551",5108261.88,0.0
264,30,01/07/21,ERROR,MXN,191,326962.91,0.0
265,30,01/07/21,IN_PROGRESS,MXN,143,356737.87,0.0
266,30,01/08/21,FAILED,MXN,"46,288",101760924.62,0.0
267,30,01/08/21,COMPLETED,MXN,"28,263",33005052.32,18384.94
268,30,01/08/21,EXPIRED,MXN,"4,356",8740126.67,0.0
269,30,01/08/21,CANCELLED,MXN,"2,153",7651063.94,0.0
270,30,01/08/21,IN_PROGRESS,MXN,244,798238.55,0.0
271,30,01/08/21,ERROR,MXN,34,38876.93,0.0
272,31,01/07/21,FAILED,MXN,"45,143",56351159.5,0.0
273,31,01/07/21,COMPLETED,MXN,"32,273",28590585.0,935597.0
274,31,01/07/21,ERROR,MXN,521,599844.0,0.0
275,31,01/08/21,FAILED,MXN,"42,678",46805425.0,0.0
276,31,01/08/21,COMPLETED,MXN,"25,447",21145658.0,900856.5
277,31,01/08/21,ERROR,MXN,470,580103.0,0.0
278,32,01/07/21,COMPLETED,MXN,"4,446",1553408.58,0.0
279,32,01/07/21,FAILED,MXN,"4,070",1472414.49,0.0
280,32,01/07/21,IN_PROGRESS,MXN,"1,268",1543183.19,0.0
281,32,01/08/21,IN_PROGRESS,MXN,"133,710",930216090.36,0.0
282,32,01/08/21,COMPLETED,MXN,"1,083",417919.13,0.0
283,32,01/08/21,FAILED,MXN,159,125415.07,0.0
284,33,01/07/21,COMPLETED,MXN,"72,289",226705365.87,0.0
285,33,01/07/21,FAILED,MXN,557,1217936.66,0.0
286,33,01/07/21,CANCELLED,MXN,41,83434.09,0.0
287,33,01/08/21,COMPLETED,MXN,"70,826",221793119.41,0.0
288,33,01/08/21,FAILED,MXN,568,1304048.58,0.0
289,33,01/08/21,CANCELLED,MXN,5,9001.5,0.0
290,34,01/07/21,COMPLETED,MXN,"39,714",860666266.45,129354.96
291,34,01/07/21,FAILED,MXN,"20,845",765889202.57,0.0
292,34,01/07/21,EXPIRED,MXN,"1,220",68296212.09,0.0
293,34,01/07/21,ERROR,MXN,232,5627572.96,0.0
294,34,01/08/21,COMPLETED,MXN,"53,122",1235608055.79,213866.2
295,34,01/08/21,FAILED,MXN,"25,648",967836669.39,0.0
296,34,01/08/21,EXPIRED,MXN,"1,383",82847872.66,0.0
297,34,01/08/21,ERROR,MXN,29,718303.85,0.0
298,35,01/07/21,IN_PROGRESS,MXN,"59,790",495300673.97,0.0
299,35,01/07/21,COMPLETED,MXN,367,2052841.0,0.0
300,35,01/07/21,FAILED,MXN,140,615168.51,0.0
301,35,01/08/21,IN_PROGRESS,MXN,"73,807",649431425.44,0.0
302,35,01/08/21,COMPLETED,MXN,422,2157473.0,0.0
303,35,01/08/21,FAILED,MXN,151,624787.75,0.0
304,36,01/07/21,COMPLETED,MXN,"60,194",198661741.48,0.0
305,36,01/07/21,FAILED,MXN,"4,240",15025418.79,0.0
306,36,01/07/21,CANCELLED,MXN,74,206588.0,0.0
307,36,01/08/21,COMPLETED,MXN,"59,997",198184124.53,0.0
308,36,01/08/21,FAILED,MXN,530,1549415.9,0.0
309,36,01/08/21,CANCELLED,MXN,2,10000.0,0.0
310,37,01/07/21,COMPLETED,MXN,"33,913",9611915.41,16541.59
311,37,01/07/21,FAILED,MXN,"20,267",8344988.85,0.0
312,37,01/07/21,ERROR,MXN,15,4330.91,0.0
313,37,01/08/21,COMPLETED,MXN,"36,669",10371518.49,15628.15
314,37,01/08/21,FAILED,MXN,"22,509",9445382.39,0.0
315,37,01/08/21,ERROR,MXN,3,897.0,0.0
316,38,01/07/21,COMPLETED,MXN,"31,719",25583304.0,292316.0
317,38,01/07/21,FAILED,MXN,"19,060",18943745.0,0.0
318,38,01/07/21,EXPIRED,MXN,"1,063",857947.0,0.0
319,38,01/07/21,IN_PROGRESS,MXN,716,619268.0,0.0
320,38,01/07/21,ERROR,MXN,205,80337.0,0.0
321,38,01/08/21,COMPLETED,MXN,"30,984",24067866.0,169192.0
322,38,01/08/21,FAILED,MXN,"24,128",24394967.0,0.0
323,38,01/08/21,EXPIRED,MXN,"1,099",938700.0,0.0
324,38,01/08/21,IN_PROGRESS,MXN,785,590175.0,0.0
325,38,01/08/21,ERROR,MXN,36,29949.0,0.0
326,39,01/07/21,COMPLETED,MXN,"21,426",3934431.42,49775.57
327,39,01/07/21,FAILED,MXN,"16,336",3102272.06,0.0
328,39,01/07/21,IN_PROGRESS,MXN,"3,017",499028.39,0.0
329,39,01/07/21,EXPIRED,MXN,"2,366",584677.78,0.0
330,39,01/07/21,CANCELLED,MXN,"2,175",253384.2,0.0
331,39,01/07/21,ERROR,MXN,78,20743.26,0.0
332,39,01/08/21,COMPLETED,MXN,"23,745",3983671.34,73896.95
333,39,01/08/21,FAILED,MXN,"17,750",3693652.27,0.0
334,39,01/08/21,IN_PROGRESS,MXN,"3,945",663422.38,0.0
335,39,01/08/21,EXPIRED,MXN,"3,075",915367.11,0.0
336,39,01/08/21,CANCELLED,MXN,"2,273",1268604.81,0.0
337,39,01/08/21,ERROR,MXN,31,9577.86,0.0
338,40,01/07/21,COMPLETED,MXN,"26,234",4504672.34,0.0
339,40,01/07/21,IN_PROGRESS,MXN,"11,332",1897482.64,0.0
340,40,01/07/21,FAILED,MXN,"2,406",789098.6,0.0
341,40,01/07/21,CANCELLED,MXN,"1,413",299840.86,0.0
342,40,01/07/21,EXPIRED,MXN,416,175971.0,0.0
343,40,01/07/21,ERROR,MXN,39,12310.0,0.0
344,40,01/08/21,COMPLETED,MXN,"30,968",4774002.2,0.0
345,40,01/08/21,IN_PROGRESS,MXN,"13,599",2005451.2,0.0
346,40,01/08/21,FAILED,MXN,"2,847",817395.87,0.0
347,40,01/08/21,CANCELLED,MXN,"1,377",276450.96,0.0
348,40,01/08/21,EXPIRED,MXN,464,185579.0,0.0
349,40,01/08/21,ERROR,MXN,6,2769.0,0.0
350,41,01/07/21,COMPLETED,MXN,"27,542",11684631.0,28844.9
351,41,01/07/21,FAILED,MXN,"9,625",5285215.48,0.0
352,41,01/07/21,IN_PROGRESS,MXN,"1,784",781323.08,0.0
353,41,01/07/21,ERROR,MXN,32,17038.1,0.0
354,41,01/08/21,COMPLETED,MXN,"32,685",13697916.16,64140.0
355,41,01/08/21,FAILED,MXN,"12,172",6727960.4,0.0
356,41,01/08/21,IN_PROGRESS,MXN,"1,917",823552.82,0.0
357,41,01/08/21,ERROR,MXN,6,5632.0,0.0
358,42,01/07/21,IN_PROGRESS,MXN,"25,743",31310571.44,0.0
359,42,01/07/21,CANCELLED,MXN,"12,269",14427212.97,0.0
360,42,01/07/21,COMPLETED,MXN,"1,919",2492236.87,0.0
361,42,01/07/21,FAILED,MXN,986,1138182.82,0.0
362,42,01/08/21,IN_PROGRESS,MXN,"30,268",44574855.36,0.0
363,42,01/08/21,CANCELLED,MXN,"10,090",15100759.69,0.0
364,42,01/08/21,COMPLETED,MXN,"2,485",3892769.36,0.0
365,42,01/08/21,FAILED,MXN,934,1360678.64,0.0
366,43,01/07/21,COMPLETED,MXN,"28,504",66232242.46,629477.08
367,43,01/07/21,FAILED,MXN,"19,243",47387234.51,0.0
368,43,01/07/21,CANCELLED,MXN,"1,168",3224579.34,0.0
369,43,01/07/21,ERROR,MXN,22,50041.96,0.0
370,43,01/08/21,COMPLETED,MXN,"21,243",53224090.02,813961.8
371,43,01/08/21,FAILED,MXN,"12,201",32425483.61,0.0
372,43,01/08/21,CANCELLED,MXN,709,2153829.76,0.0
373,43,01/08/21,ERROR,MXN,6,13398.63,0.0
374,44,01/07/21,COMPLETED,MXN,"19,901",1670813.2,120136.35
375,44,01/07/21,FAILED,MXN,"18,158",2357315.05,0.0
376,44,01/07/21,ERROR,MXN,30,3682.6,0.0
377,44,01/07/21,CANCELLED,MXN,1,1.0,0.0
378,44,01/08/21,COMPLETED,MXN,"23,422",1682080.75,115962.35
379,44,01/08/21,FAILED,MXN,"21,441",2693603.35,0.0
380,44,01/08/21,ERROR,MXN,9,870.95,0.0
381,44,01/08/21,CANCELLED,MXN,7,384730.64,0.0
382,45,01/07/21,COMPLETED,MXN,"27,988",9009903.0,158047.0
383,45,01/07/21,FAILED,MXN,"15,648",6229201.45,0.0
384,45,01/07/21,ERROR,MXN,54,20559.0,0.0
385,45,01/08/21,COMPLETED,MXN,"23,349",7454832.71,154645.0
386,45,01/08/21,FAILED,MXN,"13,988",6407092.35,0.0
387,45,01/08/21,ERROR,MXN,5,900.0,0.0
388,46,01/07/21,COMPLETED,MXN,"30,376",36439866.14,0.0
389,46,01/07/21,FAILED,MXN,"5,399",12541086.72,0.0
390,46,01/07/21,CANCELLED,MXN,34,33947.0,0.0
391,46,01/08/21,COMPLETED,MXN,"31,446",40685284.43,0.0
392,46,01/08/21,FAILED,MXN,"9,192",15491307.31,0.0
393,46,01/08/21,CANCELLED,MXN,6,11250.0,0.0
394,47,01/07/21,COMPLETED,MXN,"20,110",1912361.51,76198.25
395,47,01/07/21,FAILED,MXN,"16,180",1890835.6,0.0
396,47,01/07/21,ERROR,MXN,21,2331.8,0.0
